"matter","date","activity_description","note","price","quantity","type","activity_user","non_billable"
"Laguna Beach Receivership Estate","3/6/2026","","Discuss tenant Lindy Ann's objection to late fees with Steve Donell; respond to email from tenant","395","0.3","","",""
"Laguna Beach Receivership Estate","3/6/2026","","Email to Casey Donoyan regarding status update of unlawful detainers","395","0.2","","",""
"Laguna Beach Receivership Estate","3/6/2026","","Email to Erik de Marchi regarding lease at Heisler Residential","395","0.1","","",""
"Laguna Beach Receivership Estate","3/6/2026","","Email to Erika Akason re requirements for financial reports","275","0.2","","",""
"Laguna Beach Receivership Estate","3/6/2026","","Review Royal Hawaiian tenant ledger; respond to Steve Donell re eviction status","395","0.2","","",""
"Laguna Beach Receivership Estate","3/9/2026","","Detailed email to Casey Donoyan re tenant under eviction and reported issues by tenants","395","0.3","","",""
"Laguna Beach Receivership Estate","3/9/2026","","Respond to email from Dora Orgill re issues with Laguna Vistas tenant","395","0.2","","",""
"Laguna Beach Receivership Estate","3/9/2026","","Review 694 NCH leases re increases; review Orange County landlord tenant laws; discuss increasing rent with Steve Donell and Kari Wilson","395","0.3","","",""
"Laguna Beach Receivership Estate","3/9/2026","","Review email from Kari Wilson re Harrington's lease; update tenant ledger on Appfolio","275","0.3","","",""
"Laguna Beach Receivership Estate","3/9/2026","","Review email from Melissa Harrington re discrepancy in rent paid and unwritten agreement","395","0.2","","",""
"Laguna Beach Receivership Estate","3/10/2026","","Email to Casey Donoyan re status of evictions","395","0.2","","",""
"Laguna Beach Receivership Estate","3/10/2026","","Email to Erika Akason regarding expenses reflected on general ledger and reimbursements for credit card expenses","275","0.3","","",""
"Laguna Beach Receivership Estate","3/10/2026","","Email to Steve Donell re McClain Family Cellars settlement agreement and terms","395","0.1","","",""
"Laguna Beach Receivership Estate","3/10/2026","","Review/approve payables; forward invoices to management company","275","0.2","","",""
"Laguna Beach Receivership Estate","3/10/2026","","Send delinquency report to Steve Donell; review his comments and discuss","395","0.4","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Circulate January 2026 financial report to service list","275","0.2","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Confirm that rent has not been received for Childs; Emails with Cindy Childs regarding unpaid rent","275","0.2","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Email additional leases to Laurie Ouverson","395","0.2","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Email updated tenant ledger and copy of lease to Casey Donoyan","395","0.2","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Prepare detailed instructions re accounting for short term rentals and email to Erika Akason","275","0.8","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Research re trustee's deed upon sale re 694 N Coast Hwy","395","0.2","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Respond to email from Casey Donoyan re payment instructions on notices being prepared","395","0.1","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Respond to email from Laurie Ouverson re lease files","395","0.1","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Review email from John Burns re repairs to be completed","395","0.2","","",""
"Laguna Beach Receivership Estate","3/11/2026","","Send copy of bank statement to Erika Akason","275","0.2","","",""
"Laguna Beach Receivership Estate","3/12/2026","","Email to Erika Akason regarding transfers between The Retreat and Sleepy Hollow","275","0.1","","",""
"Laguna Beach Receivership Estate","3/12/2026","","Numerous emails with UD attorney re evictions","395","0.3","","",""
"Laguna Beach Receivership Estate","3/12/2026","","Request bank letter from California Bank of Commerce","275","0.1","","",""
"Laguna Beach Receivership Estate","3/12/2026","","Review email from Laurie Overson, prepare updated rent rolls separated by property and send per request","395","0.4","","",""
"Laguna Beach Receivership Estate","3/13/2026","","Respond to email from Jason McClain re rent payment portal","275","0.1","","",""
"Laguna Beach Receivership Estate","3/13/2026","","Respond to email from Nicole Toft re Biryani Hunter lease","395","0.1","","",""
"Laguna Beach Receivership Estate","3/13/2026","","Review email from Casey Donoyan and Dora Orgill re incidents involving tenant at Laguna Vistas","395","0.2","","",""
"Laguna Beach Receivership Estate","3/13/2026","","Review email from Erika Akason re financials","275","0.2","","",""
"Laguna Beach Receivership Estate","3/16/2026","","Email copies of Flashman Design and McClain leases to Dora Orgill","395","0.1","","",""
"Laguna Beach Receivership Estate","3/16/2026","","Email to Nicole Toft re lease files","395","0.1","","",""
"Laguna Beach Receivership Estate","3/16/2026","","Review email from Lindy Ann re payment of rent; review Appfolio account to confirm receipt of payments","275","0.2","","",""
"Laguna Beach Receivership Estate","3/17/2026","","Respond to email from Steve Donell re Receivership order violations by defendant; review tenant ledger and confirm funds turned over","275","0.2","","",""
"Laguna Beach Receivership Estate","3/17/2026","","Review emails regarding McClain Wines and plumbing issues","395","0.1","","",""
"Laguna Beach Receivership Estate","3/17/2026","","Review/approve payables","275","0.2","","",""
"Laguna Beach Receivership Estate","3/18/2026","","Email to Erika Akason to provide instructions on accounting for due to/from accounts","275","0.2","","",""
"Laguna Beach Receivership Estate","3/18/2026","","Coordinate access to unit for vendor at Laguna Festival; forward email from tenant to Dora Orgill","395","0.3","","",""
"Laguna Beach Receivership Estate","3/19/2026","","Update tenant ledger in Appfolio; email to Jason McClain re same","275","0.2","","",""
"Laguna Beach Receivership Estate","3/23/2026","","Call from tenant at 187 Jasmine re gas and trash issues","395","0.2","","",""
"Laguna Beach Receivership Estate","3/23/2026","","Review Heisler bank account; email to Dora Orgill re ADP fees","275","0.2","","",""
"Laguna Beach Receivership Estate","3/24/2026","","Email copy of bank statement to Erika Akason regarding missing journal entries to Revenue","275","0.2","","",""
"Laguna Beach Receivership Estate","3/24/2026","","Email exchange with The Fullest to confirm if they have vacated","395","0.2","","",""
"Laguna Beach Receivership Estate","3/24/2026","","Email to Casey Donoyan re cancellation of eviction ","395","0.1","","",""
"Laguna Beach Receivership Estate","3/24/2026","","Move tenant out on Appfolio; reverse charges","275","0.2","","",""
"Laguna Beach Receivership Estate","3/24/2026","","Review email from Rana Nader re interest in renting Unit O; discuss with Steve Donell","395","0.2","","",""
"Laguna Beach Receivership Estate","3/25/2026","","Discuss accounting issues regarding transfers between accounts with Erika Akason; review journal entries and propose adjusting journal entries","275","0.7","","",""
"Laguna Beach Receivership Estate","3/25/2026","","Email to Erika Akason re instructions on reclass journal entries","275","0.2","","",""
"Laguna Beach Receivership Estate","3/25/2026","","Emails to Erika Akason re TOT tax and management fees","275","0.2","","",""
"Laguna Beach Receivership Estate","3/25/2026","","Process wire ","275","0.3","","",""
"Laguna Beach Receivership Estate","3/25/2026","","Review Art a Fair payment history; send summary to Steve Donell","395","0.2","","",""
"Laguna Beach Receivership Estate","3/26/2026","","Research re questions re Sleepy Hollow and The Retreat journal entries posted in February; send adjusting journal entries to enter to Erika Akason; numerous emails re same","275","0.8","","",""
"Laguna Beach Receivership Estate","3/26/2026","","Respond to email from Brian Landau re TOT tax payment","275","0.1","","",""
"Laguna Beach Receivership Estate","3/27/2026","","Email to Casey Donoyan regarding Biryani Hunter and status of eviction","395","0.2","","",""
"Laguna Beach Receivership Estate","3/27/2026","","Email to Steve Donell re property taxes","275","0.1","","",""
"Laguna Beach Receivership Estate","3/27/2026","","Email to Steve Donell with update on unlawful detainer actions","395","0.2","","",""
"Laguna Beach Receivership Estate","3/27/2026","","Emails re Fincen form sent by Lynnbrook Group; complete form on website","275","0.4","","",""
"Laguna Beach Receivership Estate","3/27/2026","","Review email from tenant at 187 Jasmine re payment of utilities to determine if property is submetered.","395","0.2","","",""
"Laguna Beach Receivership Estate","3/30/2026","","Email to Jason McClain re balance due","275","0.1","","",""
"Laguna Beach Receivership Estate","3/30/2026","","Review list of questions and requests for documents and information from Buyer; compile requested reports and respond.","395","1.2","","",""
"Laguna Beach Receivership Estate","3/31/2026","","Respond to email from Dora Orgill re docusign document; email wire instructions","275","0.2","","",""
"Laguna Beach Receivership Estate","3/31/2026","","Respond to email from Dora Orgill re Heisler Residential utility meters","395","0.2","","",""
"Laguna Beach Receivership Estate","3/31/2026","","Respond to email from Dora Orgill re resident's use of common area","395","0.1","","",""
"Leighton Ave Receivership Estate","3/5/2026","","Review motion to approve final account and report","185","0.2","","",""
"Maie Avenue Receivership","3/17/2026","","Respond to email from Aaron Perryman of LCAD re trash pickup; research accounts payable to confirm payments","275","0.2","","",""
"Nature's Growers Receivership Estate","3/2/2026","","Request copies of invoices from Advanced Grower Solutions","235","0.1","","",""
"Nature's Growers Receivership Estate","3/2/2026","","Research re Zahava Asset Management issue; review lien notice and original financing agreement; email to counsel to request input","365","0.6","","",""
"Nature's Growers Receivership Estate","3/2/2026","","Respond to email from Jasmine Tran re cut off date of receivables re David Judaken","235","0.2","","",""
"Nature's Growers Receivership Estate","3/3/2026","","Respond to email from Banc of CA to approve ACH.","235","0.2","","",""
"Nature's Growers Receivership Estate","3/4/2026","","Review email from Deborah Coyne re Brightview; compare to records; request invoices from Jasmine Tran","235","0.3","","",""
"Nature's Growers Receivership Estate","3/5/2026","","Review AR Report; email to Jasmine Tran re David Judaken's unauthorized use of accounting software and request removal of entries entered by David.","365","0.7","","",""
"Nature's Growers Receivership Estate","3/9/2026","","Respond to email from Banc of CA re nonpost ACH","235","0.2","","",""
"Nature's Growers Receivership Estate","3/9/2026","","Review email from Jasmine Tran re January financial reports; review bank reconciliations and approve","235","0.3","","",""
"Nature's Growers Receivership Estate","3/18/2026","","Email to Byron Moldo re Zahava and lien of receivables","365","0.1","","",""
"Nature's Growers Receivership Estate","3/18/2026","","Process payments for professional fees; send wires.","235","0.3","","",""
"Nature's Growers Receivership Estate","3/24/2026","","Numerous emails with Brightview regarding demand for payment","235","0.3","","",""
"Nature's Growers Receivership Estate","3/25/2026","","Respond to email from Banc of CA to approve ACH.","235","0.2","","",""
"Nature's Growers Receivership Estate","3/30/2026","","Review email from Advanced Grower Solutions re payment of balance due","235","0.1","","",""
"Pine Hollow Receivership Estate","3/10/2026","","Research issue re general ledger account ""held by Receiver""; review general ledger; email to Chere Irwin re same","275","0.4","","",""
"Pine Hollow Receivership Estate","3/12/2026","","Compile bank statements for prior months; email to Chere Irwin and request journal entries","275","0.4","","",""
"Pine Hollow Receivership Estate","3/12/2026","","Email correspondence with Chere Irwin re journal entry recorded re sale of assets; research and follow up re same","275","0.4","","",""
"Pine Hollow Receivership Estate","3/12/2026","","Email to Chere Irwin re closure of Bank of America account","275","0.2","","",""
"Pine Hollow Receivership Estate","3/12/2026","","Review bank transactions in BofA account; request reimbursement of charges incurred by new owner","275","0.3","","",""
"Pine Hollow Receivership Estate","3/12/2026","","Review issue re refused change order; research bank transactions and respond to Todd Donell","275","0.4","","",""
"Pine Hollow Receivership Estate","3/12/2026","","Send banking credentials to Todd Donell","275","0.1","","",""
"Pine Hollow Receivership Estate","3/13/2026","","Email to Chere Irwin re December financial reports","275","0.1","","",""
"Pine Hollow Receivership Estate","3/13/2026","","Email to Chere Irwin re wire from Bank of America and instructions re journal entry","275","0.2","","",""
"Pine Hollow Receivership Estate","3/13/2026","","Email to Chere Irwin regarding general ledgers sent; discuss discrepancies and request revised reports.","275","0.3","","",""
"Pine Hollow Receivership Estate","3/17/2026","","Circulate December 2025 financial report to service list","275","0.2","","",""
"Pine Hollow Receivership Estate","3/18/2026","","Email to Todd Donell in response to question from Richard Bowles; research re financials","275","0.3","","",""
"Pine Hollow Receivership Estate","3/20/2026","","Email to Chere Irwin to record payment on Quickbooks","275","0.2","","",""
"Pine Hollow Receivership Estate","3/23/2026","","Send bank statements to Chere Irwin","275","0.2","","",""
"Pine Hollow Receivership Estate","3/24/2026","","Send secured emails to Bank of America re account closure; revise forms and resend","275","0.5","","",""
"Pine Hollow Receivership Estate","3/25/2026","","Email to Chere Irwin to request reclass of expenses","275","0.2","","",""
"Pine Hollow Receivership Estate","3/26/2026","","Review balance sheet and cash accounts; emails with Chere Irwin to discuss proposed journal entries.","275","0.5","","",""
"Pine Hollow Receivership Estate","3/26/2026","","Review bank transactions; email to Chere Irwin re same","275","0.2","","",""
"Pine Hollow Receivership Estate","3/26/2026","","Review email from Shawn Azari re Circle K Rebates; follow up email to Todd Donell to provide wire instructions","275","0.2","","",""
"Pine Hollow Receivership Estate","3/27/2026","","Email to Chere Irwin re March bank activity in Bank of America accounts and account closure","275","0.2","","",""
"Pine Hollow Receivership Estate","3/27/2026","","Research discrepancy between previous reports sent by Chere Irwin and current reports","275","0.7","","",""
"S. Brower Living Trust","3/4/2026","","Send 2025 general ledger to Karleen Stewart","275","0.2","","",""
"S. Brower Living Trust","3/6/2026","","Complete all January 2026 bank reconciliations; prepare financial reports and send to Steve Donell and Sarah Bates","275","1.5","","",""
"S. Brower Living Trust","3/20/2026","","Process bank transfer","275","0.1","","",""
"S. Brower Living Trust","3/26/2026","","Review 1099 received; email to Brian Landau","275","0.1","","",""
"Sea Star Estates HOA","3/11/2026","","Email bank statement to Melony Hickock","275","0.2","","",""
"Sea Star Estates HOA","3/13/2026","","Email bank statement to Melony Hickock","275","0.2","","",""
"Sea Star Estates HOA","3/26/2026","","Send invoices to Comuneo for payment","275","0.2","","",""
"Spalding HOA Receivership Estate","3/4/2026","","Review financial report prepared by Comuneo; email to Kaylie Barillas to request changes","185","0.4","","",""
"Spalding HOA Receivership Estate","3/10/2026","","Email to Melony Hickok regarding revisions to financial report","185","0.2","","",""
"Spalding HOA Receivership Estate","3/10/2026","","Send November through February bank statements to Melony Hickock","185","0.2","","",""
"Spalding HOA Receivership Estate","3/26/2026","","Send invoices to Comuneo for payment","185","0.2","","",""
"Stout Receivership","3/3/2026","","Respond to email from Byron Moldo re financial reports; research prior submission of financial reports and send proof.","275","0.3","","",""
"Stout Receivership","3/24/2026","","Update service list","275","0.2","","",""
"Zola Hospice Receivership Estate","3/4/2026","","Circulate Jan 2026 financial report to service list","185","0.1","","",""
